Date,Name / Description,Expense / Income,Amount ($),Transaction,Category
2023-12-22,Laptop Repair,Expense,1714.23,Laptop Repair,Electronics
2023-12-23,Music Album,Expense,802.34,Music Album,Entertainment
2023-12-24,Optometrist Visit,Expense,765.89,Optometrist Visit,Health and Wellness
2023-12-25,Selling Paintings,Expense,48.84,Selling Paintings,Art and Design
2023-12-26,Ski Pass,Expense,752.63,,
2023-12-27,Consulting Fees,Income,7405.9,Consulting Fees,Professional Services
2023-12-28,Etsy Store Sales,Income,7001.65,Etsy Store Sales,Online Marketplace
2023-12-29,Home Repair,Expense,1828.41,Home Repair,Housing and Utilities
2023-12-30,Dividend Income,Income,7519.48,Dividend Income,Finance and Banking
2023-12-31,Coffee Machine,Expense,651.54,Coffee Machine,Housing and Utilities
2024-01-01,Monthly Apartment Rent,Expense,635.86,Monthly Apartment Rent,Housing
2024-01-02,Rental Income,Income,10804.8,Rental Income,Finance and Banking
2024-01-03,Skin Care Products,Expense,1552.73,,
2024-01-04,Gas Bill,Expense,565.9,Gas Bill,Housing and Utilities
2024-01-05,Medical Insurance,Expense,1429.28,Medical Insurance,Financial Planning
2024-01-06,Spa Treatment,Expense,1125.35,Spa Treatment,Personal Giving/Philanthropy
2024-01-07,Ski Pass,Expense,802.32,,
2024-01-08,Music Performance Fee,Income,6894.92,Music Performance Fee,Entertainment
2024-01-09,Hardware Store Purchase,Expense,175.04,Hardware Store Purchase,Housing and Utilities
2024-01-10,Clothes Shopping,Expense,1333.03,Clothes Shopping,Personal Giving/Philanthropy
2024-01-11,Mortgage Payment,Expense,64.12,Mortgage Payment,Housing
2024-01-12,Home Repair,Expense,1779.13,Home Repair,Housing and Utilities
2024-01-13,Orthodontic Treatment,Expense,1365.83,Orthodontic Treatment,Health and Wellness
2024-01-14,Birthday Gift,Expense,1783.17,Birthday Gift,Personal Expenses
2024-01-15,Safari Adventure,Expense,7.41,Safari Adventure,Travel
2024-01-16,Photography Session Fee,Income,12147.93,Photography Session Fee,Professional Services
2024-01-17,Yoga Retreat,Expense,1916.82,Yoga Retreat,Travel and Leisure
2024-01-18,Electronics Store Purchase,Expense,1593.66,Electronics Store Purchase,Electronics
2024-01-19,Starbucks Coffee,Expense,1984.19,,
2024-01-20,Museum Entry,Expense,713.67,Museum Entry,Entertainment
2024-01-21,Netflix Subscription,Expense,1697.44,Netflix Subscription,Entertainment
2024-01-22,Bicycle Repair,Expense,1542.5,Bicycle Repair,Transportation
2024-01-23,Chinese Takeout,Expense,1442.45,Chinese Takeout,Food and Beverages
2024-01-24,Hair Salon Visit,Expense,1268.66,Hair Salon Visit,Health and Wellness
2024-01-25,Netflix Subscription,Expense,618.22,Netflix Subscription,Entertainment
2024-01-26,Legal Services,Expense,1076.87,Legal Services,Professional Services
2024-01-27,Netflix Subscription,Expense,552.78,Netflix Subscription,Entertainment
2024-01-28,Birthday Gift,Expense,22.34,Birthday Gift,Personal Expenses
2024-01-29,Bicycle Repair,Expense,54.76,Bicycle Repair,Transportation
2024-01-30,Acupuncture Treatment,Expense,292.85,Acupuncture Treatment,Health and Wellness
2024-01-31,Art Exhibition Ticket,Expense,1029.95,Art Exhibition Ticket,Entertainment
2024-02-01,Dental Checkup,Expense,449.2,Dental Checkup,Health and Wellness
2024-02-02,TK Maxx Amsterdam DA,Expense,742.13,TK Maxx Amsterdam DA,Clothing and Grooming
2024-02-03,Wedding Gift,Expense,114.94,Wedding Gift,Personal Expenses
2024-02-04,Music Album,Expense,1822.84,Music Album,Entertainment
2024-02-05,Yoga Retreat,Expense,1770.48,Yoga Retreat,Travel and Leisure
2024-02-06,Freelancing,Expense,1795.07,Freelancing,Professional Services
2024-02-07,Spiritual Retreat,Expense,667.72,Spiritual Retreat,Travel
2024-02-08,Mountain Hiking Trip,Expense,1427.29,Mountain Hiking Trip,Sport and Fitness
2024-02-09,Music Performance Fee,Income,7382.97,Music Performance Fee,Entertainment
2024-02-10,Optometrist Visit,Expense,606.88,Optometrist Visit,Health and Wellness
2024-02-11,Selling Paintings Revenue,Income,1253.58,Selling Paintings Revenue,Professional Services
2024-02-12,Bicycle Repair,Expense,846.58,Bicycle Repair,Transportation
2024-02-13,Winter Coat Purchase,Expense,779.7,Winter Coat Purchase,Clothing and Grooming
2024-02-14,Etsy Store Sales,Income,2800.57,Etsy Store Sales,Online Marketplace
2024-02-15,Car Wash,Expense,703.66,Car Wash,Transportation
2024-02-16,Mortgage Payment,Expense,195.76,Mortgage Payment,Housing
2024-02-17,Martial Arts Class,Expense,1742.85,Martial Arts Class,Recreation
2024-02-18,Plumbing Services,Expense,1336.85,Plumbing Services,Housing and Utilities
2024-02-19,Bicycle Repair,Expense,389.47,Bicycle Repair,Transportation
2024-02-20,Medical Insurance,Expense,1836.59,Medical Insurance,Financial Planning
2024-02-21,Safari Adventure,Expense,1161.46,Safari Adventure,Travel
2024-02-22,Orthodontic Treatment,Expense,914.52,Orthodontic Treatment,Health and Wellness
2024-02-23,Art Exhibition Ticket,Expense,1286.49,Art Exhibition Ticket,Entertainment
2024-02-24,Art Exhibition Ticket,Expense,511.78,Art Exhibition Ticket,Entertainment
2024-02-25,Netflix Subscription,Expense,1104.4,Netflix Subscription,Entertainment
2024-02-26,Sushi Restaurant,Expense,268.15,Sushi Restaurant,Food and Beverages
2024-02-27,Etsy Store Sales,Income,3490.31,Etsy Store Sales,Online Marketplace
2024-02-28,Book Royalties,Income,8880.59,Book Royalties,Professional Services
2024-02-29,Train Ticket,Expense,199.5,Train Ticket,Transportation
2024-03-01,Nail Salon Visit,Expense,1704.45,Nail Salon Visit,Health and Wellness
2024-03-02,Internet Bill,Expense,794.11,Internet Bill,Housing and Utilities
2024-03-03,Book Royalties,Income,4025.76,Book Royalties,Professional Services
2024-03-04,Bank Loan Repayment,Expense,1172.94,Bank Loan Repayment,Financial Services
2024-03-05,Bank Loan Repayment,Expense,1494.94,Bank Loan Repayment,Financial Services
2024-03-06,Concert Ticket,Expense,1219.93,Concert Ticket,Entertainment
2024-03-07,Public Transit Ticket,Expense,1160.13,Public Transit Ticket,Transportation
2024-03-08,Concert Ticket,Expense,344.35,Concert Ticket,Entertainment
2024-03-09,Movie Ticket,Expense,1374.29,Movie Ticket,Entertainment
2024-03-10,Book Royalties,Income,16734.82,Book Royalties,Professional Services
2024-03-11,Pharmacy Medication,Expense,1219.14,Pharmacy Medication,Health and Wellness
2024-03-12,Rental Income,Income,5654.34,Rental Income,Finance and Banking
2024-03-13,Grocery Shopping,Expense,1606.37,Grocery Shopping,Food and Beverages
2024-03-14,Birthday Gift,Expense,1673.55,Birthday Gift,Personal Expenses
2024-03-15,Rental Income,Income,7139.27,Rental Income,Finance and Banking
2024-03-16,Mortgage Payment,Expense,834.14,Mortgage Payment,Housing
2024-03-17,Monthly Apartment Rent,Expense,1873.55,Monthly Apartment Rent,Housing
2024-03-18,Safari Adventure,Expense,1445.76,Safari Adventure,Travel
2024-03-19,Etsy Store Sales,Income,605.08,Etsy Store Sales,Online Marketplace
2024-03-20,Cleaning Services,Expense,854.76,Cleaning Services,Housing and Utilities
2024-03-21,Hardware Store Purchase,Expense,192.32,Hardware Store Purchase,Housing and Utilities
2024-03-22,Book Purchase,Expense,1957.2,Book Purchase,Books and Media
2024-03-23,Airline Ticket,Expense,1152.55,Airline Ticket,Travel
2024-03-24,Cleaning Services,Expense,1289.14,Cleaning Services,Housing and Utilities
2024-03-25,Car Wash,Expense,732.1,Car Wash,Transportation
2024-03-26,Starbucks Coffee,Expense,1337.09,,
2024-03-27,Water Bill,Expense,1145.83,Water Bill,Housing and Utilities
2024-03-28,Yoga Retreat,Expense,1550.49,Yoga Retreat,Travel and Leisure
2024-03-29,Massage Session,Expense,1800.7,Massage Session,Health and Wellness
2024-03-30,Medical Insurance,Expense,811.59,Medical Insurance,Financial Planning
2024-03-31,Cleaning Services,Expense,1791.21,Cleaning Services,Housing and Utilities
